antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Goals_nan'}),"frozenset({'Away_Weak', 'Venue_Home Venue', 'Result_Draw'})",0.08716169886661558,0.1347557778405195,0.05231315290606219,0.6001850994909763,4.453872843962818,1.0,0.04056761037739028,2.1641119954706447,0.8495220909770025,0.3084423305588585,0.5379167057467731,0.4941961115533301
frozenset({'Goals_nan'}),"frozenset({'Away_Weak', 'Result_Draw'})",0.08716169886661558,0.19170733674827573,0.07312547896583713,0.838963442850532,4.376271962674783,1.0,0.05641594180966305,5.019311624387858,0.845160643145797,0.35542050578317974,0.8007694929437746,0.610203370909802
"frozenset({'Venue_Home Venue', 'Goals_nan'})","frozenset({'Away_Weak', 'Result_Draw'})",0.06267898197071754,0.19170733674827573,0.05231315290606219,0.8346203346203346,4.353617074740575,1.0,0.04029713220236274,4.887497271179686,0.8218165611917831,0.25888223552894213,0.7953963052016945,0.5537503103777036
frozenset({'Goals_nan'}),"frozenset({'Venue_Home Venue', 'Result_Draw'})",0.08716169886661558,0.16573226313878917,0.0625983140402533,0.7181860249884313,4.333411077522069,1.0,0.04815280842806747,2.9603490629837057,0.842684743206408,0.32895294616362863,0.662201997560345,0.5479467481963329
"frozenset({'Away_Weak', 'Goals_nan'})","frozenset({'Venue_Home Venue', 'Result_Draw'})",0.07328681482676562,0.16573226313878917,0.05231315290606219,0.7138139790864061,4.307030903745258,1.0,0.040167163226588955,2.915123995916961,0.8285427534722295,0.28019010585439624,0.656961418656414,0.5147312776911709
"frozenset({'Home_Medium', 'Goals_nan'})",frozenset({'Result_Draw'}),0.05711289476868471,0.2326059774936474,0.05707256080345259,0.9992937853107345,4.296079559425879,1.0,0.04378776008829086,1086.629935869112,0.8137025444507612,0.24531900138696255,0.9990797234946411,0.622327662553061
"frozenset({'Venue_Home Venue', 'Goals_nan'})",frozenset({'Result_Draw'}),0.06267898197071754,0.2326059774936474,0.0625983140402533,0.9987129987129988,4.293582690669565,1.0,0.048018808170647846,596.2651554874715,0.8183901329217725,0.2690240942971052,0.9983228937817397,0.6339151953856307
"frozenset({'Away_Weak', 'Venue_Home Venue', 'Goals_nan'})",frozenset({'Result_Draw'}),0.05239382083652644,0.2326059774936474,0.05231315290606219,0.9984603541185527,4.292496542337659,1.0,0.04012603699575493,498.4224176178711,0.8094452698728702,0.22482232622638237,0.9979936696973235,0.6116803244496006
frozenset({'Goals_nan'}),frozenset({'Result_Draw'}),0.08716169886661558,0.2326059774936474,0.08700036300568709,0.998149005090236,4.291158016854903,1.0,0.06672603084081102,414.58462065904837,0.8401955424585388,0.37376537861722403,0.9975879471881751,0.6860868139722032
"frozenset({'Away_Weak', 'Goals_nan'})",frozenset({'Result_Draw'}),0.07328681482676562,0.2326059774936474,0.07312547896583713,0.9977985690698954,4.28965145187271,1.0,0.05607852776566138,348.5887347235042,0.8275276957504375,0.3141569918558309,0.9971312899689854,0.6560867303473285
frozenset({'Goals_nan'}),"frozenset({'Home_Medium', 'Result_Draw'})",0.08716169886661558,0.15371274149961683,0.05707256080345259,0.6547894493290144,4.259825457154094,1.0,0.043674697116901064,2.4515104096773834,0.838317801368212,0.31051130129471144,0.5920882097614267,0.5130415365249112
"frozenset({'Tournament_Other', 'Result_Away Win'})",frozenset({'Venue_Neutral Venue'}),0.09385713709514783,0.2825394264510144,0.05687089097729198,0.6059303824666953,2.144587005352859,1.0,0.030352549294094686,1.8206442253527693,0.5889907396709165,0.17798535723302197,0.4507438707272755,0.4036075895202855
"frozenset({'Result_Home Win', 'Away_Weak', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.10248860565482193,0.31855765740329933,0.06227564231839632,0.6076347894529712,1.9074562338449625,1.0,0.02962711219046571,1.7367552583131556,0.5300674492553036,0.1735806632939854,0.4242136333179944,0.4015636596036697
"frozenset({'Away_Weak', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.23321098697212922,0.31855765740329933,0.1409672084862663,0.6044621238325839,1.8974967632541468,1.0,0.06667606279571345,1.7228244971115538,0.6168448821399914,0.3431516936671576,0.4195578239823174,0.523489608383752
"frozenset({'Home_Medium', 'Away_Weak', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.14370991812205058,0.31855765740329933,0.08655668938813375,0.6023014313780523,1.890714027368454,1.0,0.04077679452555336,1.7134644083782955,0.5501631929003735,0.2303811057434246,0.41638706055969515,0.43700789472169266
"frozenset({'Result_Home Win', 'Venue_Neutral Venue'})","frozenset({'Tournament_Other', 'Away_Weak'})",0.11708950106885008,0.28495946436494174,0.06227564231839632,0.5318635893902859,1.866453499186604,1.0,0.028909880811058532,1.5274191868642928,0.5257888890992882,0.18328584995251662,0.34530087837056395,0.3752028491891274
"frozenset({'Result_Home Win', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.11708950106885008,0.31855765740329933,0.06897108054692856,0.5890458146744746,1.84910266943837,1.0,0.031671323379914566,1.6581954070060534,0.5200947854637353,0.1880981190188098,0.3969347666898046,0.40277816183204607
"frozenset({'Away_Weak', 'Goals_Low', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.09756786189650304,0.31855765740329933,0.056386883394506516,0.5779247622984705,1.8141920273064038,1.0,0.025305893870907877,1.6145044336350822,0.49731211362872263,0.15674402959973094,0.3806148938541567,0.3774657997362193
"frozenset({'Result_Away Win', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.0985762110273061,0.31855765740329933,0.05687089097729198,0.5769230769230769,1.8110475875099827,1.0,0.02546868411674006,1.6106819006831106,0.49680671767566026,0.15785938199731303,0.37914494502242346,0.37772464304497727
frozenset({'Tournament_Other'}),frozenset({'Venue_Neutral Venue'}),0.31855765740329933,0.2825394264510144,0.16149719678941638,0.5069637883008357,1.7943116635749636,1.0,0.07149209897510946,1.4551883949383382,0.6496268159186184,0.3673731535003212,0.31280375552859335,0.5392777542503464
frozenset({'Venue_Neutral Venue'}),frozenset({'Tournament_Other'}),0.2825394264510144,0.31855765740329933,0.16149719678941638,0.5715917201998573,1.7943116635749634,1.0,0.07149209897510946,1.5906376574108259,0.6170140012899178,0.3673731535003212,0.371321309198879,0.5392777542503464
"frozenset({'Home_Medium', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.1720243617150002,0.31855765740329933,0.09821320534021699,0.570926143024619,1.7922223175499339,1.0,0.043413527655988715,1.5881702684016001,0.5338726011129588,0.2503083881578947,0.37034459094462135,0.43961602162626234
"frozenset({'Goals_Medium', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.0934537974428266,0.31855765740329933,0.052918162384544026,0.5662494605092793,1.7775415135992099,1.0,0.02314773959571474,1.5710466744244334,0.4825184125940298,0.14736605638548803,0.3634816735369376,0.3661837325336976
"frozenset({'Home_Medium', 'Venue_Neutral Venue'})","frozenset({'Tournament_Other', 'Away_Weak'})",0.1720243617150002,0.28495946436494174,0.08655668938813375,0.5031652989449004,1.7657434192131514,1.0,0.037536719416106305,1.4391920172173305,0.5237669831454267,0.23366724738675962,0.30516568460858046,0.40345809179375236
"frozenset({'Goals_Low', 'Venue_Neutral Venue'})",frozenset({'Tournament_Other'}),0.11644415762513613,0.31855765740329933,0.06316298955350301,0.5424315898856945,1.7027736652362653,1.0,0.02606881148213911,1.489268768415348,0.4671157933718656,0.16986657988935894,0.3285295299222269,0.3703548174801985
"frozenset({'Home_Medium', 'Away_Weak', 'Goals_High'})",frozenset({'Result_Home Win'}),0.07772355100229904,0.48162787883676844,0.05969426854354051,0.768033212247016,1.5946610360305058,1.0,0.02226043953864184,2.234682499958718,0.40433373875055845,0.11947045527930254,0.5525091371957882,0.44598796530615603
"frozenset({'Away_Weak', 'Venue_Home Venue', 'Home_Strong'})",frozenset({'Result_Home Win'}),0.08514500060500949,0.48162787883676844,0.06473601419755576,0.7603031738512552,1.5786112209441563,1.0,0.023727808162609672,2.162615707066366,0.4006446985697689,0.12894673415280788,0.5375969957433996,0.44735701360681007
"frozenset({'Away_Weak', 'Venue_Home Venue', 'Goals_High'})",frozenset({'Result_Home Win'}),0.09083208970273868,0.48162787883676844,0.06880974468600008,0.7575488454706927,1.5728924316016148,1.0,0.025062477992158973,2.138047649926002,0.4006175434494174,0.13662208697044928,0.5322835765448868,0.45020897595534465
"frozenset({'Away_Weak', 'Home_Strong'})",frozenset({'Result_Home Win'}),0.11838018795627799,0.48162787883676844,0.08603234784011617,0.7267461669505962,1.5089370837623426,1.0,0.029017149018436036,1.8970351316883844,0.3825706279507628,0.16738601585184024,0.4728616337695404,0.45268721127029016
"frozenset({'Away_Weak', 'Home_Strong'})","frozenset({'Result_Home Win', 'Venue_Home Venue'})",0.11838018795627799,0.36453837776791836,0.06473601419755576,0.5468483816013628,1.5001119633815656,1.0,0.021581892520112916,1.402315685151248,0.3781483657330564,0.15480324074074073,0.286893806730726,0.36221595889096686
"frozenset({'Home_Medium', 'Goals_High'})","frozenset({'Result_Home Win', 'Away_Weak'})",0.09232444641632719,0.43262211107974025,0.05969426854354051,0.6465705548274355,1.4945388556625592,1.0,0.019752671630640685,1.6053497994295112,0.3645545896945648,0.1283051582141309,0.3770828012964107,0.3922765136620862
"frozenset({'Away_Weak', 'Goals_High'})","frozenset({'Result_Home Win', 'Venue_Home Venue'})",0.1289073528818618,0.36453837776791836,0.06880974468600008,0.5337922403003755,1.4642964166593506,1.0,0.021818067384089583,1.3630438554723043,0.3640005035218029,0.1620440729483283,0.26634789043270135,0.3612754076031641
"frozenset({'Away_Weak', 'Goals_High'})",frozenset({'Result_Home Win'}),0.1289073528818618,0.48162787883676844,0.09059008591134594,0.7027534418022529,1.4591211860483422,1.0,0.028504710976392053,1.7439129465659875,0.36121986204755946,0.17423008300364598,0.4265768816217908,0.4454224457147936
